"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","78/1727","361/17619",1.33189333314279e-11,1.07323964784646e-07,9.48167853899438e-08,"Spock2/Plekha2/Ston1/Arpc2/Unc13d/Camsap3/Dock5/Rreb1/Ccdc80/Pkp2/Smoc2/Parva/Bcam/Thsd1/Col5a3/Myadm/Olfm4/Mslnl/Itgb8/Abi3bp/Iqgap1/Tnfrsf12a/Map4k4/Itga8/Zyx/Epb41l5/Onecut2/Vcl/Fermt2/Tecta/Cntn2/Ap1ar/Sdc4/S100a10/Rock1/Pxn/Ppard/Plau/Pecam1/Myh9/Mmp12/Smad3/Rac3/Lamb3/Lama5/L1cam/Jup/Itgb6/Itgb5/Itga7/Itga6/Itga3/Itga2b/Onecut1/Gcnt2/Gas6/Fbln2/Emp2/Efna1/Csf1/Bcar1/Col1a1/Cdkn2a/Cdk6/Cd63/Anxa2/Ddr1/Bcl2l11/Arhgap6/Adam9/Adam8/Lims1/Bcr/Actn1/Itga1/Lpxn/Itga9/Adamts9",78
"GO:0010631","BP","GO:0010631","epithelial cell migration","66/1727","319/17619",3.28787670169367e-09,7.46993133026134e-06,6.59941027374658e-06,"Rhoj/Adgra2/Amotl1/Prcp/Dock5/Rreb1/Anln/Rtn4/Plpp3/Plxnd1/Rgcc/Smoc2/Dusp10/Lgals8/Irs2/Atp2b4/Vstm4/Amot/Map4k4/Map2k3/Stard13/Plcg2/Epb41l5/Wnt7a/Wnt5a/Tgfbr2/Tgfbr1/Tgfb1/Tacr1/Sp1/Sox9/Snai2/Shh/Sema4a/Rock1/Pxn/Ptprg/Ppard/Pfn1/Pecam1/P2rx4/Myh9/Met/Jup/Jun/Itga3/Hmox1/Hif1a/Hbegf/Grn/Glul/Gab2/Emp2/Efna1/Gadd45a/Dcn/Bcar1/Cd63/Anxa3/Akt1/Adam9/Adam8/Lpxn/Card10/Ptpn23/Adamts9",66
"GO:0090132","BP","GO:0090132","epithelium migration","66/1727","321/17619",4.28327152891366e-09,7.46993133026134e-06,6.59941027374658e-06,"Rhoj/Adgra2/Amotl1/Prcp/Dock5/Rreb1/Anln/Rtn4/Plpp3/Plxnd1/Rgcc/Smoc2/Dusp10/Lgals8/Irs2/Atp2b4/Vstm4/Amot/Map4k4/Map2k3/Stard13/Plcg2/Epb41l5/Wnt7a/Wnt5a/Tgfbr2/Tgfbr1/Tgfb1/Tacr1/Sp1/Sox9/Snai2/Shh/Sema4a/Rock1/Pxn/Ptprg/Ppard/Pfn1/Pecam1/P2rx4/Myh9/Met/Jup/Jun/Itga3/Hmox1/Hif1a/Hbegf/Grn/Glul/Gab2/Emp2/Efna1/Gadd45a/Dcn/Bcar1/Cd63/Anxa3/Akt1/Adam9/Adam8/Lpxn/Card10/Ptpn23/Adamts9",66
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration","54/1727","241/17619",4.91775530078261e-09,7.46993133026134e-06,6.59941027374658e-06,"Rhoj/Adgra2/Amotl1/Prcp/Dock5/Rreb1/Rtn4/Plpp3/Rgcc/Smoc2/Dusp10/Irs2/Atp2b4/Amot/Map4k4/Map2k3/Stard13/Plcg2/Epb41l5/Wnt7a/Wnt5a/Tgfbr2/Tgfb1/Tacr1/Sp1/Sox9/Snai2/Shh/Sema4a/Ptprg/Pfn1/P2rx4/Met/Jup/Jun/Itga3/Hmox1/Hif1a/Hbegf/Grn/Glul/Gab2/Emp2/Efna1/Gadd45a/Dcn/Bcar1/Cd63/Anxa3/Akt1/Adam9/Card10/Ptpn23/Adamts9",54
"GO:0090130","BP","GO:0090130","tissue migration","66/1727","323/17619",5.56212310518342e-09,7.46993133026134e-06,6.59941027374658e-06,"Rhoj/Adgra2/Amotl1/Prcp/Dock5/Rreb1/Anln/Rtn4/Plpp3/Plxnd1/Rgcc/Smoc2/Dusp10/Lgals8/Irs2/Atp2b4/Vstm4/Amot/Map4k4/Map2k3/Stard13/Plcg2/Epb41l5/Wnt7a/Wnt5a/Tgfbr2/Tgfbr1/Tgfb1/Tacr1/Sp1/Sox9/Snai2/Shh/Sema4a/Rock1/Pxn/Ptprg/Ppard/Pfn1/Pecam1/P2rx4/Myh9/Met/Jup/Jun/Itga3/Hmox1/Hif1a/Hbegf/Grn/Glul/Gab2/Emp2/Efna1/Gadd45a/Dcn/Bcar1/Cd63/Anxa3/Akt1/Adam9/Adam8/Lpxn/Card10/Ptpn23/Adamts9",66
"GO:0045088","BP","GO:0045088","regulation of innate immune response","82/1727","457/17619",4.45434334135125e-08,4.48663733057604e-05,3.96377947599454e-05,"Clec2d/Nfkbiz/N4bp1/Zc3hav1/Ulbp1/Trim12a/Rftn1/Ifih1/Alpk1/Polr3b/Wdfy1/Trim15/Rtn4/Trim62/Riok3/Slc15a3/Nmi/Dusp10/Cd274/Nek7/Erbin/Rsad2/Gbp3/Irgm2/Irf7/Pvr/Nlrc5/Trim30c/Trim56/Trim12c/Nlrx1/Rbm47/Plcg2/Ddx60/A2m/Trafd1/Tnip2/Gbp7/Ifi207/Wnt5a/Ttll12/Tlr4/Tgfb1/Trim25/Tap2/Ythdf2/Tap1/Trim41/Syk/Trim30d/Stat5b/Stat2/Trim21/Serpinb9/Clpb/Trim30a/Ptpn22/Eif2ak2/Pla2g5/Mmp12/Ly96/Lgals9/Irf1/Ifi204/Ifi203/H2-T23/H2-Q4/H2-D1/Grn/Esr1/Drd2/Ddx3x/Casp6/Serping1/Akt1/Adam8/Rps6ka3/Ticam1/Mapkapk3/Epg5/Smpdl3b/Mndal",82
"GO:0042060","BP","GO:0042060","wound healing","69/1727","367/17619",8.3129797859293e-08,7.4428879016687e-05,6.5755183967532e-05,"Chmp4b/F13a1/Pear1/Ubash3b/Prcp/Prss56/Rreb1/Plpp3/Ahnak/Smoc2/Abi3bp/Tnfrsf12a/Tspan32/Dysf/Slc7a11/Nbeal2/Wnt7a/Wnt5a/Ccn4/Mrtfa/Tlr4/Fermt2/Tec/Nrg1/Sdc4/Syk/Snai2/St3gal4/Shh/Ccl2/Scnn1b/S100a10/Hps1/Pros1/Procr/Prkg1/Ppard/Plau/Plat/Pecam1/Ddr2/Myh9/Mmp12/Smad3/Lyst/Itgb6/Il6ra/Hmox1/Hif1a/Hbegf/Gp1bb/Gna13/Gas6/F3/Dst/Cxadr/Col5a1/Cflar/Cdkn1a/Cd44/Cd151/Anxa2/Ddr1/Serping1/Anxa5/Tspan9/Scrib/Ano6/Chmp7",69
"GO:0007264","BP","GO:0007264","small GTPase-mediated signal transduction","77/1727","432/17619",1.51975277058078e-07,0.000111328798412181,9.83549089706971e-05,"Rabif/Rhoj/Heg1/Dok5/Dock8/Rab30/Dock11/Akap13/Arhgap12/Mmd2/Plce1/Psd2/Arhgap17/Dock5/Rtn4/Rabl3/Lztr1/Ralb/Rapgef4/Nucb2/Kctd10/Rasgef1b/Dock6/Amot/Sh2d3c/Map4k4/Arhgap28/Sipa1l2/Prag1/Stard13/Wasf2/Sh2b2/Stard8/Plxnb1/Rhov/Arhgap1/Madd/Ywhaq/Rnd1/Vav2/Dynlt1b/Arhgef11/Nrg1/Rock1/Ralgds/Reln/Rdx/Cnksr1/Rasgrf2/Rab33b/Pecam1/Nras/Ngf/Myo9b/Met/Rac3/Itga3/Hmox1/Adgrg1/Lpar1/Gna13/Eps8/Csf1/Arhgap31/Bnip2/Rhoc/Srgap1/Adra1b/Abca1/Arhgef28/Bcr/Camk2d/Rab15/Rhoq/Dynlt1a/Phactr4/Dynlt1c",77
"GO:0007015","BP","GO:0007015","actin filament organization","79/1727","461/17619",5.52937505492856e-07,0.000318255029947245,0.00028116664283069,"Rhoj/Arpc2/Arhgap12/Arhgef10l/Cotl1/Arhgap17/Arap1/Snx9/Rgcc/Tpm3/Shank3/Pdlim1/Rhpn2/Myadm/Nox4/Arhgef15/Myo1d/Tpm4/Washc4/Fchsd1/Iqgap1/Arhgap28/Sh3pxd2b/Wasf2/Catip/Hax1/Spire2/Ssh1/Fhdc1/Rhov/Zyx/Gsn/Svil/Rnd1/Ezr/Vasp/Dpysl3/Fermt2/Tgfbr1/Samd14/Tagln2/Tacr1/Ap1ar/Sdc4/Ccl11/S100a10/Rdx/Pxn/Tmsb10/Inpp5k/Lcp1/Pfn1/Pecam1/Nrap/Nf2/Myh9/Met/Mical1/Smad3/Rac3/Itgb5/Lpar1/Eps8/Emp2/Eln/Bcar1/Capzb/Capn1/Pcdh15/Arpc1b/Arhgap6/Rhoc/Avil/Pawr/Actn1/Cald1/Rnh1/Rhoq/Plekhg2",79
"GO:0009615","BP","GO:0009615","response to virus","64/1727","352/17619",8.29427862014531e-07,0.000417720607007068,0.000369040830973965,"Trim34a/Zc3hav1/Il33/Trim12a/Ifitm7/Ifih1/Unc13d/Polr3b/Bst2/Trim15/Rtp4/Riok3/Nmi/Rsad2/Isg20/Lgals8/Irgm2/Irf7/Trim30c/Trim56/Batf3/Itgb8/Trim12c/Slfn8/Tspan32/Ifnlr1/Oasl2/Ddx60/Gbp7/Ifi207/Ilrun/Serinc5/Tgfb1/Trim25/Trim41/Trim30d/Stat2/Stat1/Trim21/Clpb/Trim30a/Xpr1/Ptpn22/Eif2ak2/Pou2af1/Mov10/Mmp12/Smad3/Lyst/Lgals9/Itgb6/Irf1/Il17ra/Il10rb/Ifit2/Ifit1/Ifi204/Ifi203/Hif1a/Ddx3x/Cxadr/Bcl3/Ticam1/Mndal",64
