"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","48/903","361/17619",1.30945510914198e-09,8.69216301448447e-06,7.38394844176167e-06,"Arpc2/Rreb1/Ccdc80/Hsd17b12/Col5a3/Tnn/Mslnl/Abi3bp/Iqgap1/Tnfrsf12a/Coro1c/Zyx/Lamc1/Vegfa/Vcl/Utrn/Tyro3/Thbs1/Tecta/Srf/Sema3e/Pxn/Ptprj/Ptk2b/Flna/Ppard/Nrp1/Myh9/Smad3/Jup/Jak2/Itgb6/Itga2b/Ccn1/Ccn2/Col26a1/Emp2/Cdk6/Anxa2/Bcl2l11/Bcl6/Arhgap6/Adam9/Lims1/Bcr/Actn1/Lpxn/Itga9",48
"GO:0048008","BP","GO:0048008","platelet-derived growth factor receptor signaling pathway","16/903","62/17619",5.87856504015441e-08,0.000130073049121817,0.000110496396210902,"Tiparp/Pdgfd/Myo1e/Arid5b/Iqgap1/Vegfa/Csrnp1/Sgpl1/Ptprj/Plat/Nrp1/Nr4a3/Jak2/Inppl1/Bcr/Rapgef1",16
"GO:0045859","BP","GO:0045859","regulation of protein kinase activity","54/903","499/17619",1.70477103908703e-07,0.000282906753936492,0.000240327854115505,"Deptor/Cblc/Ern1/Heg1/Errfi1/Ubash3b/Pdgfd/Dusp16/Snx9/Rgcc/Nox4/Atp2b4/Pik3r5/Iqgap1/Map2k3/Gadd45g/Coro1c/Sesn2/Shb/Trib3/Vldlr/Vegfa/Tlr4/Thbs1/Tgfb2/Tead1/Trib1/Syk/Ptk6/Rgs2/Pxn/Ptprj/Ptk2b/Prkar2a/Pim1/Ddr2/Gadd45b/Jak2/Ccn1/Irgm1/Hgf/Htt/Gstp1/Fbn1/Emp2/Gadd45a/Cdkn1a/Ccnf/Casp3/Adcyap1/Adam9/Adam17/Zfp91/Ttbk1",54
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration","33/903","241/17619",2.52077328401096e-07,0.000330075935714521,0.000280397835052202,"Rhoj/Adgra2/Amotl1/Rreb1/Rtn4/Rgcc/Irs2/Atp2b4/Map2k3/Stard13/Coro1c/Vegfa/Thbs1/Tgfbr2/Tgfb2/Snai2/Sema5a/Sema4a/Rock2/Ptprg/Ptk2b/Ptgs2/Nrp1/Jup/Jun/Hmox1/Emp2/Gadd45a/Col18a1/Anxa3/Adam9/Adam17/Ptpn23",33
"GO:0060537","BP","GO:0060537","muscle tissue development","52/903","481/17619",2.98351252528944e-07,0.000330075935714521,0.000280397835052202,"Tiparp/Heg1/Selenon/Myo18b/Klhl40/Ctdp1/Cntnap2/Ube4b/Pdlim5/Bvht/Nox4/Ppp1r13l/Tnn/Chd7/Flnb/Homer1/Tenm4/Vgll4/Zfpm1/Plagl1/Svil/Ccn4/Vegfa/Tpm1/Tgfbr2/Tgfb2/Kdm6b/Srf/Ski/Rgs2/Pim1/Pax5/Ncam1/Smad7/Smad3/Smad1/Lmna/Ifrd1/Fosl2/Fos/Fkbp1a/Fhl2/Egr2/Egr1/Csrp1/Col6a1/Col19a1/Btg2/Bdnf/Atf3/Camk2d/Trip10",52
"GO:0042060","BP","GO:0042060","wound healing","43/903","367/17619",3.68762588335859e-07,0.000349692294481919,0.000297061832438375,"Chmp4b/F13a1/Ubash3b/Prss56/Rreb1/Srsf6/Abi3bp/Tnfrsf12a/Slc7a11/Ccn4/Mrtfa/Vegfa/Tyro3/Tpm1/Tlr4/Thbs1/Tfpi/Syk/Srf/Snai2/Reg3g/Ptprj/Flna/Pros1/Ppard/Plat/Pla2g4a/Ddr2/Myh9/Smad3/Lyst/Jak2/Itgb6/Ccn1/Hmox1/F8/Ext1/Cdkn1a/Cd44/Cd151/Anxa2/Anxa8/Anxa5",43
"GO:0010631","BP","GO:0010631","epithelial cell migration","39/903","319/17619",4.3463950308258e-07,0.000360642127682771,0.000306363660264919,"Rhoj/Adgra2/Amotl1/Rreb1/Rtn4/Rgcc/Irs2/Atp2b4/Map2k3/Stard13/Coro1c/Vegfa/Thbs1/Tgfbr2/Tgfb2/Srf/Snai2/Sema5a/Sema4a/Rock2/Pxn/Ptprg/Ptk2b/Ptgs2/Ppard/Nrp1/Myh9/Jup/Jun/Hmox1/Emp2/Egr3/Gadd45a/Col18a1/Anxa3/Adam9/Adam17/Lpxn/Ptpn23",39
"GO:0090132","BP","GO:0090132","epithelium migration","39/903","321/17619",5.10603635946932e-07,0.000366129529315721,0.000311025180150063,"Rhoj/Adgra2/Amotl1/Rreb1/Rtn4/Rgcc/Irs2/Atp2b4/Map2k3/Stard13/Coro1c/Vegfa/Thbs1/Tgfbr2/Tgfb2/Srf/Snai2/Sema5a/Sema4a/Rock2/Pxn/Ptprg/Ptk2b/Ptgs2/Ppard/Nrp1/Myh9/Jup/Jun/Hmox1/Emp2/Egr3/Gadd45a/Col18a1/Anxa3/Adam9/Adam17/Lpxn/Ptpn23",39
"GO:0090130","BP","GO:0090130","tissue migration","39/903","323/17619",5.98816988012967e-07,0.000366129529315721,0.000311025180150063,"Rhoj/Adgra2/Amotl1/Rreb1/Rtn4/Rgcc/Irs2/Atp2b4/Map2k3/Stard13/Coro1c/Vegfa/Thbs1/Tgfbr2/Tgfb2/Srf/Snai2/Sema5a/Sema4a/Rock2/Pxn/Ptprg/Ptk2b/Ptgs2/Ppard/Nrp1/Myh9/Jup/Jun/Hmox1/Emp2/Egr3/Gadd45a/Col18a1/Anxa3/Adam9/Adam17/Lpxn/Ptpn23",39
"GO:0046777","BP","GO:0046777","protein autophosphorylation","29/903","204/17619",6.06722630682875e-07,0.000366129529315721,0.000311025180150063,"Gpnmb/Ern1/Errfi1/Pdgfd/Nek6/Map3k9/Myo3b/Iqgap1/Sik2/Zap70/Pim3/Vegfa/Ulk1/Tyro3/Trim24/Syk/Srms/Ptk6/Ripk1/Ptk2b/Eif2ak2/Pim1/Ddr2/Jun/Jak2/Igf1r/Eif2ak3/Ctnnd1/Camk2d",29
